"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",3,1000,-8.91275506759386e-05,-8.91275506759386e-05,-0.0010588797698507,0.0634558364793675,0.0503360698698924,0.0634557738868256,NA,NA,NA,NA
"TWFE",3,1000,-13.13100237753,-13.13100237753,-13.0922645750193,14.0576974169722,13.1446738402059,5.01952519950346,25446.890435054,0.2598,19.7663885111486,44.41
"REG",3,1000,-1.37633322405018,-1.37633322405018,-1.39670093600172,8.13666565076656,6.46619269664879,8.01941611145974,64143.7415324141,0.9421,31.3781640964569,44.41
"IPW",3,1000,-0.973443183425646,-0.973443183425646,-1.45239865458109,57.261759150068,45.6537225279963,57.2534843422568,3241967.26796418,0.9465,223.050065752967,44.41
"IPW-STD",3,1000,0.0508065670384041,0.0508065670384041,-0.011430103994357,9.42834735295862,7.46655244201555,9.42821046120564,86806.3894234307,0.9431,36.4825802581905,44.41
"DR.tr1",3,1000,-0.0855291129316457,-0.0855291129316457,-0.0830484799701754,5.69167826052925,4.50749578809363,5.69103559927562,31830.9206738267,0.9453,22.0602138830195,44.41
"DR.tr2",3,1000,-0.0288947449613085,-0.0288947449613085,-0.0224098405018451,4.74189934893505,3.77646009125309,4.74181131311066,21869.2904453707,0.9416,18.26125514747,44.41
"DR.imp1",3,1000,-0.119060120113394,-0.119060120113394,-0.102124639138158,4.83705108211379,3.85088280025477,4.83558557558201,23038.896013159,0.945,18.804159260281,44.41
"DR.imp2",3,1000,-0.0761544743318003,-0.0761544743318003,-0.0808611839638609,4.06229608530287,3.24043250549534,4.06158220164338,15765.1672903647,0.9436,15.5503172661589,44.41
