"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",4,1000,-8.52970246996865e-05,-8.52970246996865e-05,-5.82519944058276e-05,0.0632669950491161,0.0505052363293796,0.0632669375500542,NA,NA,NA,NA
"TWFE",4,1000,-16.3304551189373,-16.3304551189373,-16.3541049257398,17.1262744051663,16.3311419435957,5.15999133811561,26347.3075984724,0.1138,20.1123278542747,46.41
"REG",4,1000,-5.33780481451344,-5.33780481451344,-5.43671048292217,9.97730323456248,8.05136155560899,8.42937836359053,72665.7801945385,0.9075,33.3968962009967,46.41
"IPW",4,1000,-1.39124982719683,-1.39124982719683,-0.980287572946551,55.1776888838973,43.8432664566058,55.1601466140771,3101777.48079991,0.9518,218.232969086567,46.41
"IPW-STD",4,1000,-4.14870721354864,-4.14870721354864,-4.3869221121697,10.5195332763717,8.43589501064533,9.66689240702209,94034.0788454444,0.9304,37.9706638812596,46.41
"DR.tr1",4,1000,-3.34223042216521,-3.34223042216521,-3.3753853113724,7.07091773331116,5.66959608477839,6.23116148052733,38663.0770244383,0.9157,24.289669299197,46.41
"DR.tr2",4,1000,-3.27513368703828,-3.27513368703828,-3.24937704768275,6.01583892413061,4.84139954285476,5.04616857557414,24194.2246920174,0.8863,19.1593203623958,46.41
"DR.imp1",4,1000,-2.68875093041331,-2.68875093041331,-2.70767499785868,5.56421022918741,4.4701730613148,4.87145295664398,23473.3449537576,0.9134,18.9789668323681,46.41
"DR.imp2",4,1000,-2.61382590457359,-2.61382590457359,-2.61019069577734,4.84528384918153,3.89511969293682,4.07979040144459,15769.0926917893,0.8923,15.5519052174149,46.41
