"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",2,1000,-0.000421003322075219,-0.000421003322075219,-0.00106322062626861,0.0627494628674777,0.0499761519090462,0.0627480505383217,NA,NA,NA,NA
"TWFE",2,1000,-19.1783294993372,-19.1783294993372,-19.1253474198593,19.5288745252984,19.1783294993372,3.68356048405637,13240.7392478812,5e-04,14.2471547139176,46.41
"REG",2,1000,-0.0244100904747608,-0.0244100904747608,-0.0567515302719528,8.19056735926099,6.51403695055004,8.1905309848675,66577.4918484838,0.9481,31.9453519443406,46.41
"IPW",2,1000,1.82033497287905,1.82033497287905,1.5063220217973,55.0496082166209,43.9621290316456,55.0195033182777,3023548.05521498,0.9491,215.448630823352,46.41
"IPW-STD",2,1000,-0.811850272786558,-0.811850272786558,-0.697681978557981,9.81405975126946,7.77459127699088,9.7804226869836,94343.0424256368,0.9459,38.0309547854292,46.41
"DR.tr1",2,1000,-0.0101519420709921,-0.0101519420709921,-0.0223195432751639,3.28137422038001,2.60991571936138,3.28135851626223,10686.4496405484,0.9486,12.7990743016257,46.41
"DR.tr2",2,1000,-0.000232731931738223,-0.000232731931738223,0.00119329737377072,0.210812762993246,0.167951976398734,0.210812634528139,42.3493486344023,0.9454,0.805123274496645,46.41
"DR.imp1",2,1000,-0.0094925553856476,-0.0094925553856476,-0.0223530800134313,3.28179648540681,2.61031896909455,3.28178275682909,10686.1669748525,0.9488,12.7988860081571,46.41
"DR.imp2",2,1000,0.000241291703563346,0.000241291703563346,0.000631947923270686,0.21271198094706,0.169455013379657,0.212711844091335,41.3205265017524,0.9403,0.795759863786306,46.41
