"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",2,500,3.40473251318491e-05,3.40473251318491e-05,0.000621674813224932,0.0894823953833658,0.0712315785700179,0.0894823889060002,NA,NA,NA,NA
"TWFE",2,500,-19.1449870811461,-19.1449870811461,-19.1295434820803,19.8435951253345,19.1451861657665,5.21897855532554,13197.8504125746,0.0414,20.0914267052958,46.41
"REG",2,500,-0.18082721102995,-0.18082721102995,-0.158595788077221,11.635543319726,9.30173372652138,11.6341381229969,66701.7024903922,0.9469,45.1618032496377,46.41
"IPW",2,500,0.449569478043007,0.449569478043007,-0.263964826102026,78.4611101159183,62.3778870621685,78.4598221251277,3031816.16341549,0.9474,304.964253740986,46.41
"IPW-STD",2,500,-0.949676830706289,-0.949676830706289,-0.87081275039111,13.9954751014139,11.1686214661956,13.9632172951478,94359.7693484513,0.9448,53.7385240024528,46.41
"DR.tr1",2,500,-0.0755446601405312,-0.0755446601405312,-0.0803773137550059,4.66019279921274,3.72605593627192,4.6595804457224,10703.1097408658,0.9471,18.0927546604031,46.41
"DR.tr2",2,500,-0.00496530661825022,-0.00496530661825022,-0.00319352731692112,0.302817124960917,0.241120344280774,0.302776414041422,42.6128992598472,0.9384,1.14002954233526,46.41
"DR.imp1",2,500,-0.0755856098553163,-0.0755856098553163,-0.0795704468664646,4.65988260169122,3.72634804497587,4.65926954330046,10701.0605301213,0.9466,18.0909360423312,46.41
"DR.imp2",2,500,-0.00509412628680424,-0.00509412628680424,-0.00484972530219774,0.306935034060058,0.244450196513783,0.306892758159626,40.0928091007707,0.9278,1.10734130545483,46.41
