"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",1,1000,-0.00119812394754984,-0.00119812394754984,-0.00146199652817137,0.0622026405710744,0.0495238861413129,0.0621911005934176,NA,NA,NA,NA
"TWFE",1,1000,-20.791558361559,-20.791558361559,-20.7407827698955,21.0985274381949,20.791558361559,3.58593934111397,12773.9307945283,2e-04,13.9962451482888,44.41
"REG",1,1000,0.0262934682034778,0.0262934682034778,-0.0296358264421031,7.58784162377231,6.07642644706962,7.58779606743496,57417.8348215689,0.951,29.6750858939511,44.41
"IPW",1,1000,-0.66186679941544,-0.66186679941544,-0.931855176358894,55.9708435872255,44.9246111193057,55.9669300945254,3090077.61861942,0.9493,217.762140753836,44.41
"IPW-STD",1,1000,-0.0501791265176063,-0.0501791265176063,-0.125014744068622,9.64772487954908,7.68956068792841,9.6475943844428,92235.6982079349,0.9487,37.5596014687201,44.41
"DR.tr1",1,1000,0.0128647323281278,0.0128647323281278,-0.00709292142409822,3.04140682410561,2.4353295955801,3.04137961596021,9222.04452598941,0.9504,11.89338058393,44.41
"DR.tr2",1,1000,0.00406885990562137,0.00406885990562137,0.00262054653807731,0.215914049988804,0.171763859097535,0.215875708132333,44.4232561447173,0.9441,0.823858302776224,44.41
"DR.imp1",1,1000,0.0135739857257716,0.0135739857257716,-0.00759598542482885,3.04128723239082,2.43528377623616,3.04125694028225,9220.10356967201,0.9507,11.8920873309983,44.41
"DR.imp2",1,1000,0.00471537923904505,0.00471537923904505,0.00239162842893892,0.216288560808265,0.172111226316022,0.216237153919354,42.1125234865553,0.9371,0.803180114210174,44.41
