"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",3,500,-0.000206643853162126,-0.000206643853162126,-0.000676783298497209,0.0887284675151006,0.0705946610675894,0.0887282268835358,NA,NA,NA,NA
"TWFE",3,500,-13.0797761919771,-13.0797761919771,-13.0806101706132,14.9073096378861,13.2708800329858,7.15173653091325,25360.9704278835,0.5487,27.894870489488,44.41
"REG",3,500,-1.4364019160947,-1.4364019160947,-1.49937047527277,11.5040277741276,9.11886403669122,11.4140003751243,64049.5382155254,0.942,44.3199741563396,44.41
"IPW",3,500,0.324065709512608,0.324065709512608,1.16985815383687,82.0579173665053,65.6112925771821,82.0572774587612,3255447.03641958,0.9454,315.825818130005,44.41
"IPW-STD",3,500,-0.260593671576146,-0.260593671576146,-0.236660822172908,13.3058007262678,10.5718598562078,13.3032486222533,86661.8239606591,0.9444,51.5020962655423,44.41
"DR.tr1",3,500,-0.219724862606959,-0.219724862606959,-0.246839561801006,8.18707180922019,6.48230017331475,8.18412278708478,31671.085582919,0.9406,31.0830976696772,44.41
"DR.tr2",3,500,-0.168613432951029,-0.168613432951029,-0.162337763378573,6.83988887836585,5.45665587012341,6.83781027658864,21552.5862025591,0.9415,25.6017978069093,44.41
"DR.imp1",3,500,-0.263958968837036,-0.263958968837036,-0.224496945237758,7.00798607742484,5.56097861186576,7.00301324603566,22991.8386303934,0.9391,26.5502770193053,44.41
"DR.imp2",3,500,-0.219765511030758,-0.219765511030758,-0.215318059993122,5.88442397341383,4.69529620619114,5.88031875148353,15452.0258769411,0.9378,21.7563171956205,44.41
