"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",4,1000,9.05635992279797e-06,9.05635992279797e-06,0.000222272874788712,0.0628743061085812,0.0500593198246473,0.0628743054563461,NA,NA,NA,NA
"DR.tr",4,1000,-3.1877929966995,-3.1877929966995,-3.18275290372651,3.45435674075934,3.19921772804695,1.33062252446859,1704.88440733859,0.3076,5.07487073604791,11.6
"DR.imp",4,1000,-2.52909388639029,-2.52909388639029,-2.51421930901425,2.72018923402227,2.53314248295983,1.00155558144016,970.073856303855,0.2737,3.85606225368873,11.6
"IPW",4,1000,-1.08461978433689,-1.08461978433689,-1.01679343327015,2.65567726588497,2.05207569830168,2.42409192564211,6151.4400504953,0.9487,9.30836436034507,11.6
"IPW-STD",4,1000,-3.95383726243731,-3.95383726243731,-3.9494175962726,4.215372599788,3.95918888010115,1.46168979513634,2156.50874023901,0.2282,5.71721500710698,11.6
"REG",4,1000,-5.20445657793495,-5.20445657793495,-5.17088594238891,5.36414698533467,5.20445657793495,1.29911685720135,1666.56730728365,0.0145,5.05305229489416,11.6
"TWFE",4,1000,-16.3846076598104,-16.3846076598104,-16.3926464421308,16.5382507689687,16.3846076598104,2.24908210863364,13160.6816879869,0,14.2168956619791,11.6
