"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",2,500,0.000445254368248017,0.000445254368248017,0.000871159795967124,0.0897806521267913,0.0718803226475469,0.089779548032163,NA,NA,NA,NA
"DR.tr",2,500,0.000572494639074747,0.000572494639074747,0.000752128513830381,0.14789540404568,0.117944328496987,0.147894295994549,10.7441325591769,0.945,0.572603509689415,11.6
"DR.imp",2,500,0.000956439501860162,0.000956439501860162,0.00134146505061324,0.149004868191254,0.118860052701867,0.149001798540058,10.6170592822055,0.9428,0.569570893729143,11.6
"IPW",2,500,2.01938759276554,2.01938759276554,2.11308147491157,4.49295472787977,3.47550511772186,4.01356648592767,8634.85914460247,0.8993,14.7335995269154,11.6
"IPW-STD",2,500,-0.801858162391636,-0.801858162391636,-0.786386810202785,1.60599496049241,1.26961382000556,1.3914895977092,955.515487476991,0.896,5.23261651231514,11.6
"REG",2,500,-0.000188663491282358,-0.000188663491282358,6.72195587014812e-06,0.142352552403412,0.113292186566261,0.142352427383073,10.183300546366,0.9487,0.558664220284176,11.6
"TWFE",2,500,-19.2285847458536,-19.2285847458536,-19.2220371625317,19.6011744936432,19.2285847458536,3.80362592821302,6615.83741113832,7e-04,14.2422562421225,11.6
