"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",4,500,-0.000280324591950479,-0.000280324591950479,-0.00057302725564607,0.0895765648761841,0.071492436967327,0.0895761262454476,NA,NA,NA,NA
"DR.tr",4,500,-3.2404046847791,-3.2404046847791,-3.23243969212281,3.7646785336054,3.3160880069853,1.91639816850542,1691.63357653018,0.5462,7.09500237055829,11.6
"DR.imp",4,500,-2.59014648616457,-2.59014648616457,-2.5811951921813,2.96674414056973,2.62483242013809,1.44662088185334,963.925461608273,0.5359,5.43073541676647,11.6
"IPW",4,500,-1.04044316016679,-1.04044316016679,-0.893912891911867,3.78563929937516,2.80859635787638,3.63985479592741,7464.53247814051,0.973,14.0034324159464,11.6
"IPW-STD",4,500,-3.97095937025963,-3.97095937025963,-3.9741339808489,4.51232461987182,4.03814825557054,2.14302476767035,2198.63623870635,0.4964,8.11052484653522,11.6
"REG",4,500,-5.19088662807993,-5.19088662807993,-5.14633941958245,5.51155014531564,5.19199230446122,1.85253367546985,1644.54994279016,0.1789,7.09006687108394,11.6
"TWFE",4,500,-16.3427698903816,-16.3427698903816,-16.3524757860619,16.6434273155279,16.3427698903816,3.14921341247239,13075.0456360815,0.0237,20.0346290110495,11.6
