"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",3,500,0.00111951233331823,0.00111951233331823,0.00215217144900719,0.0899728457701845,0.071565001240163,0.0899658805776999,NA,NA,NA,NA
"DR.tr",3,500,-0.104463628903462,-0.104463628903462,-0.112435236636073,1.74023368739,1.37871575090569,1.73709545994552,1405.77258799205,0.9437,6.50593632712952,11.1
"DR.imp",3,500,-0.125225063504761,-0.125225063504761,-0.128640114156278,1.44959114251506,1.15552788639647,1.44417213791444,962.535437812067,0.9391,5.42663407423722,11.1
"IPW",3,500,0.0402265948384785,0.0402265948384785,0.231768151927696,4.72742616757601,3.52973388264368,4.72725501649214,11503.3384216082,0.9596,17.2591377139205,11.1
"IPW-STD",3,500,-0.0535541610185231,-0.0535541610185231,-0.0807805625795481,2.04869346386687,1.61741659497063,2.04799337419056,2030.76284942049,0.9493,7.78120082203825,11.1
"REG",3,500,-1.40592203767645,-1.40592203767645,-1.38158108753768,2.27497798840333,1.83207708105647,1.78854915271998,1504.16534450779,0.8746,6.77865779499841,11.1
"TWFE",3,500,-13.1692682237818,-13.1692682237818,-13.1870778856406,13.5533129048154,13.1692682237818,3.20353947157326,12611.2501798764,0.1508,19.6770080586257,11.1
