"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",1,1000,0.000185221083976739,0.000185221083976739,0.000129145305147215,0.0621681042475552,0.0494428221901505,0.0621678283269163,NA,NA,NA,NA
"DR.tr",1,1000,-0.00141699725996259,-0.00141699725996259,-9.8610143030898e-05,0.105893119921387,0.0841849018100115,0.10588363879963,11.1240535228526,0.9473,0.412430287213854,11.1
"DR.imp",1,1000,-0.00133306974919977,-0.00133306974919977,2.12580244999959e-05,0.105742953803789,0.0840618454129041,0.105734550664359,10.9137926604442,0.9451,0.408761762148034,11.1
"IPW",1,1000,0.0257299660883985,0.0257299660883985,0.194629604507526,2.7743037508753,2.119769733386,2.77418443348056,8078.01785743283,0.9518,10.4411585548902,11.1
"IPW-STD",1,1000,0.00753208340757758,0.00753208340757758,-0.0125048385279598,1.13200095282474,0.886096172305854,1.13197589414071,1286.38389671137,0.9476,4.30897326169253,11.1
"REG",1,1000,-0.00120472770093143,-0.00120472770093143,-0.000674693988571562,0.100499898780862,0.0799171844645217,0.100492677773707,10.2204935386841,0.95,0.396021140433257,11.1
"TWFE",1,1000,-20.9518334611332,-20.9518334611332,-20.9653285584904,21.1226522057046,20.9518334611332,2.68087874028193,6392.15080262667,0,9.90606245518827,11.1
