"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",3,1000,-0.000486145835020424,-0.000486145835020424,-0.00207148180890617,0.0628306019551789,0.0500551180435528,0.0628287211733394,NA,NA,NA,NA
"DR.tr",3,1000,-0.0512829707422006,-0.0512829707422006,-0.0463347628915505,1.21415070889662,0.961107898235979,1.21306718726789,1400.92311505011,0.9416,4.61318134834839,11.1
"DR.imp",3,1000,-0.0708642960614173,-0.0708642960614173,-0.0637712018404827,1.01508800128752,0.807162345399028,1.01261142690649,971.19459321914,0.9423,3.85805533992737,11.1
"IPW",3,1000,0.0114419660337867,0.0114419660337867,0.158088883607519,3.19816834747708,2.44844744490791,3.19814787966685,10062.5167271589,0.9468,11.7768718144462,11.1
"IPW-STD",3,1000,-0.0298579225285601,-0.0298579225285601,-0.0320824612552144,1.42699774376848,1.13633704042993,1.42668534203678,1988.03838437394,0.9447,5.4839889398667,11.1
"REG",3,1000,-1.38431765816181,-1.38431765816181,-1.36485331628293,1.86842423536664,1.55028476012338,1.25486004980907,1514.39580376245,0.8001,4.81594504283977,11.1
"TWFE",3,1000,-13.1703065707026,-13.1703065707026,-13.1936372762207,13.3638314378177,13.1703065707026,2.2660572658503,12687.8796109566,0.0035,13.9595768691136,11.1
