"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",2,1000,-0.000753589954637148,-0.000753589954637148,-0.000415300306010829,0.0624757280900688,0.0498272378841627,0.0624711829771494,NA,NA,NA,NA
"DR.tr",2,1000,-0.00078864107259766,-0.00078864107259766,-0.00166724331889229,0.103551610150049,0.082716753335617,0.103548606991724,10.6752851941284,0.9469,0.404322123920977,11.6
"DR.imp",2,1000,-0.000673119842203852,-0.000673119842203852,-0.00122342680862302,0.104211281581773,0.0832434044366516,0.104209107656642,10.6494144603388,0.9445,0.403908301872258,11.6
"IPW",2,1000,2.00999186744807,2.00999186744807,2.05435967395942,3.29815507911833,2.66899038908161,2.61491101544712,7048.31680654712,0.8376,9.81928014881778,11.6
"IPW-STD",2,1000,-0.794243364810898,-0.794243364810898,-0.798455351976116,1.22528687567016,0.996355766477333,0.933008791568126,891.693120616686,0.8564,3.62261991130072,11.6
"REG",2,1000,-0.000764737542473517,-0.000764737542473517,-0.00113705104450901,0.0997165216731567,0.0796462718821939,0.0997135891996886,10.0997675470134,0.9492,0.393687218703166,11.6
"TWFE",2,1000,-19.2858613022862,-19.2858613022862,-19.2869507171869,19.4682947916487,19.2858613022862,2.65895767614215,6640.27490511962,0,10.0954766576223,11.6
