"","DGP","n","Estimator","Av.Bias","Med.Bias","RMSE","MAE","MCSD","Asy.Var","Coverage","Lenth-CI","Sem. Eff. Bound"
"unf.att",1,500,-0.00036606867672928,-0.00036606867672928,-0.001223550317618,0.0877567464470605,0.0700012142130534,0.087755982933915,NA,NA,NA,NA
"DR.tr",1,500,0.000870332749094575,0.000870332749094575,-0.000342861126777115,0.151880271119688,0.121316088301101,0.15187777742743,11.1038447994159,0.9423,0.581684926070328,11.1
"DR.imp",1,500,0.000744498452518574,0.000744498452518574,0.000276331196127895,0.152019697577427,0.121403816392947,0.152017874520027,10.8060919785899,0.9384,0.574427444296648,11.1
"IPW",1,500,0.1054723523334,0.1054723523334,0.393631306074226,4.24318329218529,3.15295734880367,4.24187223216042,9601.46868984221,0.9606,15.4515723484061,11.1
"IPW-STD",1,500,-0.0239594110413749,-0.0239594110413749,-0.0783992171298848,1.65839951649964,1.28125576452914,1.65822643295443,1328.2925910141,0.9449,6.08800337533647,11.1
"REG",1,500,0.0010208192450061,0.0010208192450061,-0.000293600354510204,0.144554436735516,0.115070517593118,0.144550832263226,10.2934393920977,0.9449,0.561660551721232,11.1
"TWFE",1,500,-20.8772182282231,-20.8772182282231,-20.8328683723119,21.2051817896837,20.8772182282231,3.71503617542027,6374.86669327812,0,13.9833243658625,11.1
